customer_id,age,tenure_months,monthly_charges,num_support_calls,num_late_payments,avg_monthly_spend,gender_male,contract_monthly,contract_one_year,contract_two_year,label
142,44,27,73.92,2,0,73.92,1,1,0,0,1
143,48,38,72.52,3,2,72.52000000000001,0,0,1,0,0
144,76,21,101.92,1,1,101.92,1,0,0,1,0
145,33,25,45.56,4,1,45.56,1,1,0,0,1
146,61,32,41.67,3,1,41.67,0,1,0,0,0
147,19,34,79.7,2,0,79.7,0,0,1,0,0
148,21,41,110.55,3,0,110.55000000000001,0,0,1,0,0
149,30,59,26.76,4,0,26.759999999999998,1,0,0,1,0
150,40,1,56.29,2,3,56.29,0,0,0,1,1
151,47,54,95.62,3,0,95.61999999999999,1,1,0,0,0
152,57,64,104.2,0,1,104.2,0,0,1,0,0
153,55,13,31.76,1,0,31.759999999999998,0,1,0,0,0
154,20,61,64.72,4,1,64.72,0,0,1,0,0
155,52,29,92.14,2,0,92.14,0,1,0,0,1
156,31,9,102.25,4,1,102.25,0,1,0,0,1
157,70,7,67.82,0,1,67.82000000000001,0,0,1,0,0
158,48,19,63.95,1,1,63.949999999999996,0,1,0,0,1
159,36,9,41.18,2,0,41.18,0,1,0,0,1
160,45,6,89.22,4,1,89.22000000000001,0,1,0,0,1
161,69,61,85.41,1,2,85.41,1,1,0,0,1
162,38,20,96.03,1,0,96.03,0,1,0,0,0
163,35,44,24.26,2,0,24.26,1,1,0,0,1
164,51,51,105.96,0,0,105.96,0,1,0,0,0
165,58,1,63.76,0,2,63.76,1,1,0,0,0
166,76,71,42.7,1,2,42.699999999999996,0,0,0,1,1
167,40,0,27.21,3,0,0.0,1,1,0,0,0
168,24,27,55.48,1,1,55.480000000000004,1,1,0,0,0
169,34,7,96.92,1,2,96.92,1,0,1,0,0
170,79,9,99.87,5,0,99.87,1,1,0,0,0
171,72,24,57.6,1,2,57.6,1,0,1,0,1
172,38,31,51.69,2,3,51.690000000000005,1,0,0,1,1
173,39,21,73.96,1,2,73.96000000000001,0,0,1,0,0
174,39,36,79.03,5,1,79.03,1,0,1,0,0
175,22,64,47.79,3,2,47.79,1,1,0,0,0
176,53,57,23.53,2,0,23.53,0,0,1,0,0
177,73,57,56.83,3,1,56.83,1,1,0,0,0
178,21,56,58.77,2,0,58.769999999999996,0,1,0,0,0
179,73,23,87.65,2,0,87.65,0,0,0,1,0
180,47,30,102.51,0,1,102.51,0,0,1,0,0
181,66,46,119.83,3,1,119.83000000000001,1,0,0,1,0
182,26,15,40.29,1,1,40.29,0,0,1,0,0
183,76,50,114.07,3,1,114.07,1,1,0,0,1
184,21,38,69.65,1,1,69.64999999999999,0,1,0,0,0
185,41,35,21.34,0,0,21.34,1,1,0,0,1
186,31,9,47.19,1,1,47.19,0,0,1,0,1
187,75,56,54.59,0,0,54.589999999999996,1,1,0,0,0
188,28,14,108.21,4,1,108.21000000000001,0,1,0,0,1
189,68,11,54.95,1,2,54.95,1,1,0,0,1
190,51,57,74.25,2,1,74.25,0,0,1,0,0
191,74,15,61.18,0,2,61.18,0,0,1,0,1
192,66,31,45.86,2,3,45.86,0,1,0,0,0
193,75,25,75.8,1,1,75.8,0,0,1,0,0
194,40,49,29.34,1,0,29.340000000000003,1,1,0,0,0
195,54,71,99.79,1,2,99.79,1,1,0,0,0
196,20,39,70.71,3,3,70.71000000000001,1,0,1,0,0
197,72,0,61.78,1,2,0.0,0,0,0,1,1
198,42,67,91.94,2,2,91.94,1,0,0,1,0
199,28,46,85.17,3,0,85.17,0,1,0,0,1
200,50,34,34.2,3,3,34.199999999999996,1,1,0,0,1
201,33,65,51.49,1,1,51.49,0,1,0,0,1
202,20,57,71.27,0,0,71.27,0,1,0,0,0
203,31,16,96.61,3,0,96.61,0,0,1,0,0
204,55,71,32.88,1,1,32.88,0,1,0,0,0
205,39,50,102.6,4,1,102.6,0,0,1,0,1
206,70,35,29.65,2,0,29.65,1,1,0,0,1
207,47,67,26.45,1,2,26.450000000000003,1,0,0,1,0
208,65,11,78.28,1,2,78.28,0,0,0,1,1
209,78,67,106.86,0,1,106.86,1,1,0,0,0
210,63,14,80.19,4,1,80.19000000000001,1,0,0,1,0
211,62,65,47.16,1,1,47.160000000000004,1,1,0,0,1
212,23,26,34.0,2,1,34.0,0,1,0,0,1
213,30,48,20.77,0,0,20.77,1,1,0,0,0
214,66,61,59.68,3,2,59.68,0,1,0,0,0
215,63,10,33.15,3,1,33.15,1,1,0,0,0
216,56,68,20.16,1,2,20.16,0,0,1,0,0
217,53,18,79.63,1,1,79.63,0,0,1,0,0
218,27,50,79.37,4,1,79.37,0,1,0,0,0
219,57,40,62.2,1,0,62.2,0,1,0,0,0
220,48,22,101.67,2,2,101.66999999999999,1,1,0,0,1
221,49,66,105.76,2,2,105.75999999999999,1,0,0,1,0
222,73,36,84.57,3,0,84.57,0,1,0,0,1
223,44,10,51.12,1,2,51.12,0,0,1,0,1
224,22,58,73.19,2,1,73.19000000000001,0,1,0,0,1
225,70,41,110.01,5,2,110.00999999999999,0,1,0,0,1
226,21,36,67.79,2,2,67.79,1,0,1,0,0
227,61,43,103.07,2,1,103.07000000000001,1,0,1,0,0
228,52,23,82.07,0,1,82.07,0,1,0,0,1
229,44,10,55.35,2,1,55.35,1,1,0,0,1
230,23,18,71.29,2,1,71.29,1,1,0,0,0
231,44,63,69.23,6,0,69.22999999999999,1,0,1,0,0
232,34,71,26.25,3,1,26.25,1,0,0,1,0
233,71,41,83.25,2,2,83.25,0,0,1,0,0
234,57,29,21.43,1,3,21.43,1,0,1,0,0
235,19,22,68.76,1,0,68.76,1,1,0,0,1
236,77,44,89.78,2,1,89.78,1,1,0,0,1
237,19,12,86.69,1,0,86.69,0,1,0,0,1
238,71,52,104.22,0,0,104.22,1,0,1,0,0
239,42,30,108.87,2,1,108.86999999999999,0,0,1,0,0
240,69,23,49.0,3,3,49.0,1,0,1,0,0
241,74,25,91.5,2,1,91.5,1,0,1,0,0
242,74,18,76.5,4,1,76.5,1,0,0,1,1
243,46,59,83.27,1,4,83.27000000000001,1,0,1,0,1
244,38,11,119.95,3,2,119.95,0,1,0,0,0
245,30,12,61.58,5,1,61.580000000000005,0,0,1,0,1
246,20,69,84.48,2,0,84.48,0,1,0,0,1
247,71,9,74.38,3,1,74.38,0,1,0,0,0
248,55,11,79.51,3,2,79.51,1,1,0,0,0
249,44,52,27.64,1,0,27.64,0,1,0,0,1
250,72,6,54.81,4,3,54.81,0,1,0,0,1
251,21,66,91.01,1,3,91.00999999999999,0,0,0,1,0
252,37,14,76.13,4,0,76.13,0,0,1,0,0
253,25,67,58.82,2,2,58.82,0,0,1,0,1
254,66,4,69.73,1,1,69.73,0,1,0,0,0
255,63,5,47.47,2,0,47.47,1,0,0,1,0
256,61,32,33.7,2,1,33.7,1,0,0,1,0
257,76,61,76.95,1,2,76.95,0,1,0,0,0
258,76,16,116.01,1,1,116.01,1,0,1,0,1
259,18,38,98.13,4,2,98.13,1,0,0,1,0
260,57,54,92.89,0,1,92.89,0,1,0,0,1
261,26,26,115.48,2,0,115.48,0,1,0,0,1
262,56,16,98.75,2,0,98.75,1,1,0,0,0
263,69,9,103.98,2,0,103.98,1,0,1,0,0
264,28,50,62.75,1,2,62.75,0,1,0,0,0
265,40,14,74.45,2,1,74.45,0,1,0,0,1
266,52,0,60.94,3,0,0.0,1,0,0,1,0
267,40,22,113.1,2,0,113.1,1,1,0,0,0
268,57,37,21.01,0,0,21.01,1,1,0,0,1
269,68,35,94.19,1,2,94.19,1,0,0,1,0
270,76,38,42.05,1,1,42.050000000000004,1,0,1,0,1
271,51,8,46.88,3,2,46.88,1,0,1,0,1
272,34,65,89.72,4,1,89.72,1,0,1,0,1
273,23,51,35.73,3,1,35.73,0,1,0,0,0
274,21,42,103.9,2,2,103.9,0,1,0,0,0
275,36,64,50.88,4,2,50.88,1,1,0,0,1
276,39,56,99.67,3,1,99.67,1,1,0,0,0
277,79,4,55.3,2,1,55.3,1,0,1,0,0
278,36,68,27.21,3,3,27.21,0,1,0,0,1
279,27,56,21.15,0,2,21.150000000000002,1,1,0,0,1
280,37,48,54.65,1,0,54.65,1,1,0,0,1
281,27,21,34.39,1,1,34.39,0,0,1,0,0
282,52,65,46.74,2,1,46.74,1,1,0,0,1
283,77,28,37.41,1,1,37.410000000000004,0,1,0,0,0
284,53,29,88.01,2,2,88.01,0,1,0,0,1
285,49,47,86.5,2,3,86.5,0,1,0,0,1
286,36,16,74.69,1,1,74.69,0,0,1,0,0
287,50,68,27.71,1,1,27.71,1,0,0,1,0
288,72,37,58.33,3,1,58.33,0,1,0,0,0
289,34,5,99.97,2,1,99.97,1,1,0,0,0
290,76,39,64.25,0,1,64.25,0,0,1,0,0
291,74,3,79.02,0,0,79.02,1,1,0,0,1
292,20,37,85.52,1,0,85.52,0,1,0,0,0
293,24,46,88.51,1,1,88.51,1,1,0,0,1
294,75,24,102.81,3,0,102.81,0,1,0,0,1
295,78,5,75.34,6,0,75.34,1,0,1,0,0
296,30,45,58.48,4,1,58.48,0,1,0,0,1
297,49,9,83.46,1,0,83.46,0,0,1,0,1
298,36,14,94.94,4,1,94.94000000000001,0,0,1,0,1
299,30,0,83.14,1,0,0.0,0,0,1,0,1
300,43,70,31.43,6,1,31.43,1,0,1,0,0
301,33,53,92.34,3,1,92.34,1,0,1,0,1
302,19,44,68.43,1,0,68.43,1,1,0,0,1
303,25,5,58.94,0,1,58.94,0,0,1,0,1
304,62,19,119.72,1,1,119.71999999999998,0,0,1,0,0
305,76,29,41.77,0,2,41.769999999999996,0,0,1,0,1
306,25,57,98.2,1,2,98.19999999999999,1,0,1,0,1
307,26,5,95.0,4,0,95.0,1,0,0,1,1
308,30,53,58.62,5,1,58.620000000000005,1,0,1,0,0
309,40,61,99.62,3,0,99.61999999999999,0,1,0,0,1
310,75,12,85.47,6,0,85.47000000000001,0,0,0,1,1
311,54,21,23.37,1,1,23.369999999999997,1,0,0,1,0
312,76,28,63.64,9,1,63.64,0,0,1,0,0
313,30,34,22.24,2,0,22.24,1,1,0,0,1
314,31,48,96.23,4,3,96.23,0,1,0,0,0
315,60,19,76.95,3,1,76.95,1,0,0,1,0
316,59,37,79.32,4,1,79.32000000000001,0,1,0,0,0
317,58,21,35.62,1,1,35.62,0,0,1,0,0
318,31,19,88.54,3,3,88.54,0,1,0,0,0
319,19,53,78.32,0,0,78.32000000000001,0,0,1,0,0
320,47,54,108.29,3,0,108.28999999999999,1,0,1,0,0
321,52,36,109.74,2,0,109.74,1,0,1,0,1
322,72,48,86.93,3,1,86.93,0,0,0,1,0
323,49,14,34.73,2,1,34.730000000000004,0,0,0,1,0
324,47,59,102.66,2,2,102.66,0,1,0,0,0
325,73,21,68.45,1,1,68.45,1,1,0,0,1
326,52,59,68.78,2,1,68.78,0,1,0,0,0
327,65,39,86.42,0,3,86.42,0,1,0,0,1
328,30,62,75.96,0,1,75.96000000000001,0,0,1,0,0
329,76,61,110.33,4,3,110.33,1,0,0,1,1
330,73,52,47.86,4,0,47.86,0,1,0,0,1
331,52,2,109.4,3,0,109.4,0,1,0,0,1
332,37,21,95.17,0,1,95.17,1,0,1,0,0
333,18,16,49.39,5,2,49.39,1,1,0,0,0
334,34,12,96.94,1,0,96.94,0,1,0,0,1
335,57,14,111.06,0,0,111.05999999999999,1,0,1,0,0
336,69,53,119.64,1,1,119.64,1,0,1,0,0
337,25,26,37.35,2,1,37.35,0,1,0,0,0
338,38,22,112.74,2,0,112.74000000000001,0,1,0,0,1
339,41,20,116.15,2,0,116.15,1,0,1,0,0
340,72,67,55.04,3,1,55.04,1,0,0,1,0
341,63,55,64.28,3,1,64.28,0,1,0,0,1
342,33,30,35.05,1,1,35.05,0,0,0,1,0
343,57,66,49.43,3,2,49.43,0,1,0,0,0
344,21,47,89.11,1,1,89.11,1,1,0,0,1
345,79,37,88.22,3,0,88.22,1,0,0,1,1
346,61,67,78.14,3,1,78.14,1,1,0,0,1
347,22,52,66.4,1,2,66.4,0,1,0,0,0
348,45,38,37.25,5,0,37.25,0,0,1,0,1
349,69,0,65.79,2,2,0.0,1,1,0,0,1
350,25,46,25.18,4,0,25.18,0,0,1,0,0
351,78,12,65.91,0,2,65.91,1,1,0,0,1
352,22,19,44.98,3,0,44.98,0,0,1,0,0
353,60,34,27.68,4,0,27.68,1,1,0,0,1
354,49,12,73.17,1,1,73.17,0,0,1,0,0
355,21,27,71.83,2,0,71.83,1,0,1,0,0
356,24,56,48.57,0,1,48.57,0,1,0,0,0
357,79,22,103.29,3,2,103.29,1,0,1,0,0
358,37,62,47.2,3,3,47.2,0,1,0,0,0
359,28,2,119.76,1,0,119.76,1,1,0,0,1
360,78,68,50.72,1,1,50.72,1,0,1,0,0
361,74,57,54.05,1,0,54.05,0,0,0,1,0
362,38,44,50.46,1,1,50.459999999999994,1,1,0,0,0
363,68,58,78.33,1,1,78.33000000000001,0,1,0,0,0
364,19,58,73.54,0,1,73.53999999999999,0,0,1,0,1
365,30,42,100.56,2,1,100.56000000000002,0,1,0,0,0
366,47,15,53.2,4,0,53.2,1,0,1,0,0
367,54,54,35.39,2,0,35.39,1,1,0,0,1
368,62,33,39.34,3,1,39.34,1,0,1,0,0
369,74,8,74.56,2,0,74.56,0,1,0,0,0
370,30,8,35.62,4,1,35.62,0,0,0,1,0
371,19,59,86.54,0,1,86.53999999999999,0,0,1,0,1
372,38,70,21.62,3,1,21.62,0,0,0,1,0
373,61,25,48.78,0,0,48.78,1,1,0,0,0
374,71,48,88.25,2,1,88.25,0,0,1,0,0
375,58,41,45.11,0,1,45.11,0,0,1,0,0
376,49,65,61.14,5,1,61.14,0,1,0,0,0
377,74,65,25.04,2,0,25.04,0,0,0,1,0
378,31,57,60.66,2,3,60.66,0,1,0,0,0
379,20,15,41.79,1,1,41.79,1,0,1,0,0
380,31,70,32.63,2,2,32.629999999999995,1,0,0,1,0
381,60,30,52.27,0,4,52.269999999999996,1,0,1,0,0
382,48,65,80.71,0,0,80.71,0,1,0,0,1
383,28,53,64.41,4,1,64.41,1,0,1,0,0
384,46,50,56.47,0,1,56.47,0,0,1,0,0
385,68,18,93.02,0,0,93.02,0,0,1,0,0
386,70,42,39.62,0,1,39.62,1,1,0,0,0
387,37,38,117.55,0,0,117.55,0,1,0,0,0
388,51,18,88.93,5,1,88.93,1,1,0,0,1
389,43,11,55.86,1,2,55.86000000000001,0,0,0,1,0
390,28,48,87.61,3,0,87.61,0,1,0,0,0
391,46,35,36.61,0,0,36.61,1,1,0,0,0
392,62,50,20.02,2,1,20.02,1,0,1,0,0
393,66,9,46.25,2,1,46.25,1,0,1,0,0
394,71,3,75.24,3,0,75.24,0,0,1,0,0
395,31,17,37.21,3,0,37.21,1,0,0,1,0
396,58,29,28.02,4,2,28.020000000000003,0,1,0,0,0
397,25,18,71.63,4,1,71.63,0,0,1,0,0
398,50,61,55.15,0,0,55.15,1,0,1,0,0
399,35,37,41.63,4,2,41.629999999999995,0,1,0,0,0
400,74,54,44.74,1,1,44.74,1,0,0,1,0
401,22,68,96.37,1,1,96.37,1,0,1,0,1
402,45,34,25.12,3,1,25.12,1,1,0,0,1
403,40,66,107.8,0,0,107.8,0,0,1,0,1
404,58,23,72.49,2,5,72.49,0,1,0,0,1
405,23,68,114.9,1,0,114.89999999999999,1,1,0,0,0
406,68,26,96.6,1,1,96.6,0,1,0,0,0
407,23,23,51.54,0,0,51.540000000000006,0,1,0,0,0
408,19,44,67.51,1,2,67.51,0,0,0,1,0
409,71,43,68.99,1,0,68.99000000000001,1,0,1,0,0
410,45,59,77.84,1,1,77.84,0,0,0,1,0
411,33,53,25.92,1,2,25.919999999999998,0,0,1,0,0
412,58,5,55.54,2,1,55.54,1,0,1,0,0
413,40,44,42.46,1,0,42.46,1,1,0,0,0
414,44,56,99.62,1,0,99.62,1,0,1,0,0
415,34,40,38.28,2,0,38.28,0,1,0,0,1
416,20,23,23.09,0,0,23.090000000000003,1,0,1,0,0
417,42,48,106.17,5,0,106.17,1,0,1,0,1
418,61,54,58.47,1,1,58.47,0,1,0,0,0
419,27,17,48.33,0,2,48.33,0,1,0,0,0
420,33,51,90.7,2,1,90.7,1,0,1,0,1
421,20,62,43.11,1,2,43.11,0,0,0,1,0
422,73,51,71.22,2,1,71.22,1,0,1,0,0
423,48,30,116.56,3,1,116.56,1,1,0,0,1
424,71,63,83.61,5,1,83.61,0,1,0,0,0
425,53,29,53.92,0,0,53.92,1,1,0,0,1
426,69,41,74.59,3,1,74.59,1,0,0,1,1
427,63,25,44.36,1,1,44.36,0,1,0,0,0
428,56,58,101.19,1,2,101.19000000000001,0,0,0,1,0
429,76,6,91.75,1,2,91.75,1,1,0,0,0
430,58,47,102.87,0,3,102.87,1,0,0,1,0
431,41,22,81.2,0,0,81.2,0,1,0,0,0
432,72,2,82.96,4,0,82.96,0,0,0,1,1
433,31,70,107.99,2,0,107.99000000000001,1,0,1,0,0
434,73,60,98.51,2,0,98.51,0,1,0,0,0
435,38,5,51.16,0,1,51.160000000000004,1,0,0,1,0
436,59,65,20.02,1,0,20.02,1,0,0,1,1
437,35,64,43.18,1,2,43.18,1,0,1,0,0
438,77,61,43.27,0,1,43.269999999999996,0,1,0,0,1
439,54,38,101.51,1,1,101.51,1,0,0,1,0
440,35,6,95.46,2,1,95.46,0,1,0,0,1
441,29,50,32.19,0,2,32.19,0,1,0,0,0
442,24,62,26.14,5,0,26.14,1,1,0,0,0
443,75,37,52.04,0,1,52.04,1,1,0,0,1
444,52,0,102.13,3,1,0.0,0,0,1,0,1
445,18,63,110.92,1,0,110.92,0,0,0,1,0
446,21,15,35.99,2,2,35.99,0,0,1,0,0
447,23,17,42.05,1,4,42.050000000000004,1,1,0,0,0
448,19,37,58.16,1,0,58.160000000000004,1,0,1,0,0
449,40,2,102.59,6,1,102.59,1,0,1,0,1
450,68,41,76.44,3,1,76.44,1,0,0,1,0
451,67,12,54.29,2,1,54.29,1,0,1,0,0
452,62,39,40.71,2,1,40.71,0,0,1,0,0
453,67,39,91.47,1,2,91.47,0,1,0,0,0
454,34,13,95.98,3,0,95.98,1,1,0,0,1
455,54,18,28.71,3,2,28.709999999999997,1,1,0,0,0
456,73,2,63.37,6,0,63.37,1,0,0,1,1
457,33,57,78.34,2,0,78.34,0,1,0,0,0
458,50,44,58.05,3,2,58.05,0,1,0,0,0
459,61,20,40.6,3,1,40.6,0,1,0,0,0
460,20,11,90.09,3,0,90.09,1,0,0,1,1
461,69,50,39.17,2,0,39.17,1,0,1,0,0
462,32,2,36.55,1,0,36.55,0,0,1,0,1
463,38,10,90.43,1,1,90.42999999999999,1,0,0,1,1
464,51,9,92.61,3,1,92.61,1,1,0,0,0
465,22,1,32.14,2,0,32.14,1,0,1,0,0
466,75,52,92.8,3,2,92.80000000000001,1,0,0,1,1
467,37,6,48.79,3,0,48.79,0,0,1,0,0
468,55,50,28.54,2,1,28.54,0,0,0,1,0
469,49,47,31.42,4,1,31.42,0,1,0,0,0
470,24,32,104.4,0,1,104.4,0,1,0,0,0
471,63,71,30.66,6,1,30.66,0,1,0,0,0
472,40,53,36.98,0,0,36.980000000000004,1,1,0,0,0
473,43,53,44.97,2,0,44.97,0,1,0,0,0
474,30,1,21.06,1,2,21.06,1,1,0,0,1
475,28,51,82.35,3,0,82.35000000000001,0,1,0,0,1
476,38,64,40.9,2,2,40.9,0,0,1,0,0
477,47,67,103.86,0,1,103.86,1,0,0,1,1
478,26,68,111.32,0,4,111.32000000000001,0,1,0,0,0
479,21,32,41.52,1,0,41.52,1,0,1,0,0
