customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,num_late_payments,churn
54,19,Male,42,44.01,1848.42,Month-to-month,DSL,0,0,1
55,25,Female,3,54.57,163.71,Two year,Fiber optic,1,0,1
56,22,Female,41,37.7,1545.7,Month-to-month,DSL,1,0,0
57,62,Male,25,99.94,2498.5,One year,DSL,2,0,0
58,66,Male,51,40.93,2087.43,Month-to-month,Fiber optic,2,1,1
59,24,Male,22,71.17,1565.74,One year,DSL,2,0,0
60,27,Male,56,104.07,5827.92,Month-to-month,Fiber optic,1,1,0
61,35,Male,33,75.77,2500.41,One year,Fiber optic,1,2,0
62,23,Male,32,20.75,664.0,Month-to-month,Fiber optic,2,1,0
63,20,Male,30,61.04,1831.2,Two year,DSL,4,0,0
64,74,Female,7,67.66,473.62,Two year,DSL,3,2,1
65,79,Male,2,25.18,50.36,Month-to-month,DSL,0,1,0
66,18,Male,16,31.67,506.72,Month-to-month,Fiber optic,1,2,0
67,28,Male,33,38.12,1257.96,Month-to-month,Fiber optic,2,1,1
68,38,Male,4,43.57,174.28,One year,No,2,1,0
69,78,Female,22,63.87,1405.14,One year,Fiber optic,2,0,0
70,23,Female,66,82.77,5462.82,Month-to-month,DSL,5,0,1
71,72,Male,67,76.99,5158.33,One year,No,2,1,0
72,46,Female,4,68.64,274.56,Month-to-month,Fiber optic,0,1,0
73,44,Male,19,38.16,725.04,Two year,Fiber optic,3,1,0
74,64,Female,59,79.3,4678.7,Month-to-month,No,1,2,1
75,68,Male,39,104.04,4057.56,Two year,DSL,1,0,0
76,18,Male,53,71.88,3809.64,One year,Fiber optic,0,0,0
77,70,Female,40,31.43,1257.2,Month-to-month,No,4,0,0
78,71,Female,24,69.84,1676.16,Month-to-month,No,2,0,0
79,24,Male,48,75.73,3635.04,Two year,Fiber optic,1,0,0
80,68,Male,55,109.81,6039.55,Month-to-month,DSL,0,1,1
81,31,Male,46,72.76,3346.96,One year,Fiber optic,2,0,1
82,20,Female,9,47.07,423.63,One year,Fiber optic,0,0,0
83,46,Female,64,75.17,4810.88,Month-to-month,DSL,2,2,0
84,52,Female,31,105.57,3272.67,Two year,Fiber optic,2,1,1
85,40,Male,18,32.28,581.04,Two year,Fiber optic,3,1,1
86,37,Male,36,60.94,2193.84,One year,Fiber optic,3,3,0
87,68,Male,13,94.17,1224.21,One year,Fiber optic,2,0,0
88,51,Male,36,21.84,786.24,Two year,DSL,2,2,1
89,38,Male,56,46.65,2612.4,One year,DSL,4,1,0
90,71,Male,64,28.28,1809.92,One year,DSL,1,0,0
91,56,Female,53,67.61,3583.33,One year,No,2,0,0
92,60,Male,61,115.52,7046.72,Month-to-month,Fiber optic,2,1,0
93,42,Male,34,101.91,3464.94,One year,Fiber optic,2,0,0
94,78,Male,56,64.6,3617.6,Month-to-month,Fiber optic,6,1,0
95,62,Female,46,24.42,1123.32,One year,No,2,0,0
96,68,Female,71,117.11,8314.81,Two year,Fiber optic,4,1,1
97,51,Male,36,73.03,2629.08,Month-to-month,Fiber optic,4,1,0
98,19,Male,41,119.03,4880.23,Month-to-month,DSL,2,0,1
99,66,Male,61,67.99,4147.39,One year,No,3,1,0
100,31,Female,29,105.28,3053.12,One year,Fiber optic,2,0,0
101,21,Female,58,115.0,6670.0,One year,DSL,4,0,0
102,76,Female,19,103.78,1971.82,Month-to-month,No,0,0,1
103,58,Male,2,102.62,205.24,Two year,Fiber optic,1,1,1
104,52,Female,61,119.63,7297.43,Two year,Fiber optic,2,2,0
105,76,Female,28,108.87,3048.36,Two year,No,3,1,0
106,22,Female,17,28.1,477.7,Month-to-month,Fiber optic,0,2,0
107,75,Male,55,86.21,4741.55,One year,No,3,0,1
108,30,Male,44,89.75,3949.0,One year,Fiber optic,1,2,0
109,27,Female,52,94.35,4906.2,Month-to-month,No,2,0,0
110,66,Male,16,31.58,505.28,Month-to-month,DSL,1,0,1
111,58,Female,62,59.22,3671.64,Month-to-month,Fiber optic,2,1,0
112,34,Female,64,25.79,1650.56,Month-to-month,No,4,1,0
113,64,Male,31,97.04,3008.24,One year,Fiber optic,2,1,0
114,46,Male,31,28.24,875.44,One year,Fiber optic,2,2,0
115,23,Male,56,64.23,3596.88,Month-to-month,DSL,2,2,0
116,44,Female,59,38.55,2274.45,Two year,Fiber optic,4,0,0
117,20,Female,45,66.21,2979.45,Month-to-month,Fiber optic,2,0,1
118,39,Female,1,99.76,99.76,Month-to-month,Fiber optic,0,0,1
119,63,Male,37,49.17,1819.29,One year,No,1,1,0
120,74,Female,31,21.84,677.04,Month-to-month,DSL,3,2,0
121,43,Female,65,117.75,7653.75,Month-to-month,Fiber optic,1,2,0
122,26,Female,31,49.88,1546.28,Two year,No,4,1,0
123,20,Male,40,36.4,1456.0,Month-to-month,Fiber optic,3,0,0
124,62,Female,52,85.87,4465.24,Month-to-month,Fiber optic,4,0,0
125,46,Female,62,40.36,2502.32,Two year,DSL,5,1,0
126,58,Female,65,79.77,5185.05,One year,Fiber optic,2,1,0
127,50,Male,25,91.58,2289.5,Two year,DSL,2,2,0
128,64,Female,1,29.53,29.53,One year,DSL,2,1,1
129,40,Male,30,43.61,1308.3,Month-to-month,DSL,3,0,0
130,18,Male,63,55.93,3523.59,Month-to-month,Fiber optic,3,2,0
131,37,Female,1,32.3,32.3,Month-to-month,DSL,2,0,1
132,68,Female,11,34.83,383.13,Two year,No,0,3,0
133,67,Male,43,73.22,3148.46,Month-to-month,DSL,1,1,1
134,72,Female,28,64.38,1802.64,Two year,DSL,5,2,0
135,63,Female,32,80.06,2561.92,Two year,No,2,0,0
136,26,Male,40,119.33,4773.2,One year,DSL,1,3,0
137,30,Male,22,63.56,1398.32,Two year,DSL,1,0,0
138,24,Male,20,58.04,1160.8,One year,Fiber optic,2,1,0
139,19,Female,8,57.98,463.84,Two year,Fiber optic,1,0,0
140,51,Female,36,44.61,1605.96,Month-to-month,Fiber optic,4,2,0
141,53,Male,50,26.03,1301.5,Two year,Fiber optic,0,1,0
142,44,Male,27,73.92,1995.84,Month-to-month,Fiber optic,2,0,1
143,48,Female,38,72.52,2755.76,One year,DSL,3,2,0
144,76,Male,21,101.92,2140.32,Two year,DSL,1,1,0
145,33,Male,25,45.56,1139.0,Month-to-month,Fiber optic,4,1,1
146,61,Female,32,41.67,1333.44,Month-to-month,DSL,3,1,0
147,19,Female,34,79.7,2709.8,One year,Fiber optic,2,0,0
148,21,Female,41,110.55,4532.55,One year,DSL,3,0,0
149,30,Male,59,26.76,1578.84,Two year,DSL,4,0,0
150,40,Female,1,56.29,56.29,Two year,Fiber optic,2,3,1
151,47,Male,54,95.62,5163.48,Month-to-month,Fiber optic,3,0,0
152,57,Female,64,104.2,6668.8,One year,Fiber optic,0,1,0
153,55,Female,13,31.76,412.88,Month-to-month,DSL,1,0,0
154,20,Female,61,64.72,3947.92,One year,Fiber optic,4,1,0
155,52,Female,29,92.14,2672.06,Month-to-month,DSL,2,0,1
156,31,Female,9,102.25,920.25,Month-to-month,No,4,1,1
157,70,Female,7,67.82,474.74,One year,DSL,0,1,0
158,48,Female,19,63.95,1215.05,Month-to-month,Fiber optic,1,1,1
159,36,Female,9,41.18,370.62,Month-to-month,Fiber optic,2,0,1
160,45,Female,6,89.22,535.32,Month-to-month,Fiber optic,4,1,1
161,69,Male,61,85.41,5210.01,Month-to-month,Fiber optic,1,2,1
162,38,Female,20,96.03,1920.6,Month-to-month,Fiber optic,1,0,0
163,35,Male,44,24.26,1067.44,Month-to-month,DSL,2,0,1
164,51,Female,51,105.96,5403.96,Month-to-month,No,0,0,0
165,58,Male,1,63.76,63.76,Month-to-month,No,0,2,0
166,76,Female,71,42.7,3031.7,Two year,Fiber optic,1,2,1
167,40,Male,0,27.21,0.0,Month-to-month,DSL,3,0,0
168,24,Male,27,55.48,1497.96,Month-to-month,Fiber optic,1,1,0
169,34,Male,7,96.92,678.44,One year,Fiber optic,1,2,0
170,79,Male,9,99.87,898.83,Month-to-month,No,5,0,0
171,72,Male,24,57.6,1382.4,One year,Fiber optic,1,2,1
172,38,Male,31,51.69,1602.39,Two year,DSL,2,3,1
173,39,Female,21,73.96,1553.16,One year,DSL,1,2,0
174,39,Male,36,79.03,2845.08,One year,DSL,5,1,0
175,22,Male,64,47.79,3058.56,Month-to-month,No,3,2,0
176,53,Female,57,23.53,1341.21,One year,DSL,2,0,0
177,73,Male,57,56.83,3239.31,Month-to-month,Fiber optic,3,1,0
178,21,Female,56,58.77,3291.12,Month-to-month,No,2,0,0
179,73,Female,23,87.65,2015.95,Two year,DSL,2,0,0
180,47,Female,30,102.51,3075.3,One year,Fiber optic,0,1,0
181,66,Male,46,119.83,5512.18,Two year,Fiber optic,3,1,0
182,26,Female,15,40.29,604.35,One year,No,1,1,0
183,76,Male,50,114.07,5703.5,Month-to-month,Fiber optic,3,1,1
184,21,Female,38,69.65,2646.7,Month-to-month,Fiber optic,1,1,0
185,41,Male,35,21.34,746.9,Month-to-month,DSL,0,0,1
186,31,Female,9,47.19,424.71,One year,Fiber optic,1,1,1
187,75,Male,56,54.59,3057.04,Month-to-month,Fiber optic,0,0,0
188,28,Female,14,108.21,1514.94,Month-to-month,No,4,1,1
189,68,Male,11,54.95,604.45,Month-to-month,DSL,1,2,1
190,51,Female,57,74.25,4232.25,One year,Fiber optic,2,1,0
191,74,Female,15,61.18,917.7,One year,Fiber optic,0,2,1
192,66,Female,31,45.86,1421.66,Month-to-month,DSL,2,3,0
193,75,Female,25,75.8,1895.0,One year,DSL,1,1,0
194,40,Male,49,29.34,1437.66,Month-to-month,DSL,1,0,0
195,54,Male,71,99.79,7085.09,Month-to-month,No,1,2,0
196,20,Male,39,70.71,2757.69,One year,DSL,3,3,0
197,72,Female,0,61.78,0.0,Two year,Fiber optic,1,2,1
198,42,Male,67,91.94,6159.98,Two year,DSL,2,2,0
199,28,Female,46,85.17,3917.82,Month-to-month,DSL,3,0,1
200,50,Male,34,34.2,1162.8,Month-to-month,Fiber optic,3,3,1
201,33,Female,65,51.49,3346.85,Month-to-month,Fiber optic,1,1,1
202,20,Female,57,71.27,4062.39,Month-to-month,DSL,0,0,0
203,31,Female,16,96.61,1545.76,One year,Fiber optic,3,0,0
204,55,Female,71,32.88,2334.48,Month-to-month,No,1,1,0
205,39,Female,50,102.6,5130.0,One year,No,4,1,1
206,70,Male,35,29.65,1037.75,Month-to-month,DSL,2,0,1
207,47,Male,67,26.45,1772.15,Two year,No,1,2,0
208,65,Female,11,78.28,861.08,Two year,No,1,2,1
209,78,Male,67,106.86,7159.62,Month-to-month,No,0,1,0
210,63,Male,14,80.19,1122.66,Two year,Fiber optic,4,1,0
211,62,Male,65,47.16,3065.4,Month-to-month,No,1,1,1
212,23,Female,26,34.0,884.0,Month-to-month,No,2,1,1
213,30,Male,48,20.77,996.96,Month-to-month,DSL,0,0,0
214,66,Female,61,59.68,3640.48,Month-to-month,DSL,3,2,0
215,63,Male,10,33.15,331.5,Month-to-month,Fiber optic,3,1,0
216,56,Female,68,20.16,1370.88,One year,DSL,1,2,0
217,53,Female,18,79.63,1433.34,One year,No,1,1,0
218,27,Female,50,79.37,3968.5,Month-to-month,Fiber optic,4,1,0
219,57,Female,40,62.2,2488.0,Month-to-month,Fiber optic,1,0,0
220,48,Male,22,101.67,2236.74,Month-to-month,Fiber optic,2,2,1
221,49,Male,66,105.76,6980.16,Two year,Fiber optic,2,2,0
222,73,Female,36,84.57,3044.52,Month-to-month,Fiber optic,3,0,1
223,44,Female,10,51.12,511.2,One year,Fiber optic,1,2,1
224,22,Female,58,73.19,4245.02,Month-to-month,DSL,2,1,1
225,70,Female,41,110.01,4510.41,Month-to-month,No,5,2,1
226,21,Male,36,67.79,2440.44,One year,DSL,2,2,0
227,61,Male,43,103.07,4432.01,One year,DSL,2,1,0
228,52,Female,23,82.07,1887.61,Month-to-month,Fiber optic,0,1,1
229,44,Male,10,55.35,553.5,Month-to-month,DSL,2,1,1
230,23,Male,18,71.29,1283.22,Month-to-month,Fiber optic,2,1,0
231,44,Male,63,69.23,4361.49,One year,No,6,0,0
232,34,Male,71,26.25,1863.75,Two year,Fiber optic,3,1,0
233,71,Female,41,83.25,3413.25,One year,No,2,2,0
234,57,Male,29,21.43,621.47,One year,No,1,3,0
235,19,Male,22,68.76,1512.72,Month-to-month,Fiber optic,1,0,1
236,77,Male,44,89.78,3950.32,Month-to-month,DSL,2,1,1
237,19,Female,12,86.69,1040.28,Month-to-month,No,1,0,1
238,71,Male,52,104.22,5419.44,One year,DSL,0,0,0
239,42,Female,30,108.87,3266.1,One year,Fiber optic,2,1,0
240,69,Male,23,49.0,1127.0,One year,DSL,3,3,0
241,74,Male,25,91.5,2287.5,One year,No,2,1,0
242,74,Male,18,76.5,1377.0,Two year,Fiber optic,4,1,1
243,46,Male,59,83.27,4912.93,One year,DSL,1,4,1
244,38,Female,11,119.95,1319.45,Month-to-month,Fiber optic,3,2,0
245,30,Female,12,61.58,738.96,One year,Fiber optic,5,1,1
246,20,Female,69,84.48,5829.12,Month-to-month,Fiber optic,2,0,1
247,71,Female,9,74.38,669.42,Month-to-month,Fiber optic,3,1,0
248,55,Male,11,79.51,874.61,Month-to-month,Fiber optic,3,2,0
249,44,Female,52,27.64,1437.28,Month-to-month,Fiber optic,1,0,1
250,72,Female,6,54.81,328.86,Month-to-month,DSL,4,3,1
251,21,Female,66,91.01,6006.66,Two year,Fiber optic,1,3,0
252,37,Female,14,76.13,1065.82,One year,DSL,4,0,0
253,25,Female,67,58.82,3940.94,One year,DSL,2,2,1
254,66,Female,4,69.73,278.92,Month-to-month,DSL,1,1,0
255,63,Male,5,47.47,237.35,Two year,Fiber optic,2,0,0
256,61,Male,32,33.7,1078.4,Two year,Fiber optic,2,1,0
257,76,Female,61,76.95,4693.95,Month-to-month,Fiber optic,1,2,0
258,76,Male,16,116.01,1856.16,One year,No,1,1,1
259,18,Male,38,98.13,3728.94,Two year,Fiber optic,4,2,0
260,57,Female,54,92.89,5016.06,Month-to-month,Fiber optic,0,1,1
261,26,Female,26,115.48,3002.48,Month-to-month,Fiber optic,2,0,1
262,56,Male,16,98.75,1580.0,Month-to-month,Fiber optic,2,0,0
263,69,Male,9,103.98,935.82,One year,DSL,2,0,0
264,28,Female,50,62.75,3137.5,Month-to-month,No,1,2,0
265,40,Female,14,74.45,1042.3,Month-to-month,DSL,2,1,1
266,52,Male,0,60.94,0.0,Two year,No,3,0,0
267,40,Male,22,113.1,2488.2,Month-to-month,Fiber optic,2,0,0
268,57,Male,37,21.01,777.37,Month-to-month,No,0,0,1
269,68,Male,35,94.19,3296.65,Two year,Fiber optic,1,2,0
270,76,Male,38,42.05,1597.9,One year,Fiber optic,1,1,1
271,51,Male,8,46.88,375.04,One year,Fiber optic,3,2,1
272,34,Male,65,89.72,5831.8,One year,Fiber optic,4,1,1
273,23,Female,51,35.73,1822.23,Month-to-month,Fiber optic,3,1,0
274,21,Female,42,103.9,4363.8,Month-to-month,Fiber optic,2,2,0
275,36,Male,64,50.88,3256.32,Month-to-month,DSL,4,2,1
276,39,Male,56,99.67,5581.52,Month-to-month,Fiber optic,3,1,0
277,79,Male,4,55.3,221.2,One year,DSL,2,1,0
278,36,Female,68,27.21,1850.28,Month-to-month,Fiber optic,3,3,1
279,27,Male,56,21.15,1184.4,Month-to-month,No,0,2,1
280,37,Male,48,54.65,2623.2,Month-to-month,DSL,1,0,1
281,27,Female,21,34.39,722.19,One year,DSL,1,1,0
282,52,Male,65,46.74,3038.1,Month-to-month,No,2,1,1
283,77,Female,28,37.41,1047.48,Month-to-month,Fiber optic,1,1,0
284,53,Female,29,88.01,2552.29,Month-to-month,DSL,2,2,1
285,49,Female,47,86.5,4065.5,Month-to-month,Fiber optic,2,3,1
286,36,Female,16,74.69,1195.04,One year,Fiber optic,1,1,0
287,50,Male,68,27.71,1884.28,Two year,Fiber optic,1,1,0
288,72,Female,37,58.33,2158.21,Month-to-month,DSL,3,1,0
289,34,Male,5,99.97,499.85,Month-to-month,No,2,1,0
290,76,Female,39,64.25,2505.75,One year,No,0,1,0
291,74,Male,3,79.02,237.06,Month-to-month,Fiber optic,0,0,1
292,20,Female,37,85.52,3164.24,Month-to-month,DSL,1,0,0
293,24,Male,46,88.51,4071.46,Month-to-month,DSL,1,1,1
294,75,Female,24,102.81,2467.44,Month-to-month,No,3,0,1
295,78,Male,5,75.34,376.7,One year,DSL,6,0,0
296,30,Female,45,58.48,2631.6,Month-to-month,Fiber optic,4,1,1
297,49,Female,9,83.46,751.14,One year,DSL,1,0,1
298,36,Female,14,94.94,1329.16,One year,No,4,1,1
299,30,Female,0,83.14,0.0,One year,DSL,1,0,1
300,43,Male,70,31.43,2200.1,One year,Fiber optic,6,1,0
301,33,Male,53,92.34,4894.02,One year,No,3,1,1
302,19,Male,44,68.43,3010.92,Month-to-month,Fiber optic,1,0,1
303,25,Female,5,58.94,294.7,One year,No,0,1,1
304,62,Female,19,119.72,2274.68,One year,DSL,1,1,0
305,76,Female,29,41.77,1211.33,One year,Fiber optic,0,2,1
306,25,Male,57,98.2,5597.4,One year,No,1,2,1
307,26,Male,5,95.0,475.0,Two year,Fiber optic,4,0,1
308,30,Male,53,58.62,3106.86,One year,DSL,5,1,0
309,40,Female,61,99.62,6076.82,Month-to-month,Fiber optic,3,0,1
310,75,Female,12,85.47,1025.64,Two year,DSL,6,0,1
311,54,Male,21,23.37,490.77,Two year,DSL,1,1,0
312,76,Female,28,63.64,1781.92,One year,DSL,9,1,0
313,30,Male,34,22.24,756.16,Month-to-month,Fiber optic,2,0,1
314,31,Female,48,96.23,4619.04,Month-to-month,No,4,3,0
315,60,Male,19,76.95,1462.05,Two year,Fiber optic,3,1,0
316,59,Female,37,79.32,2934.84,Month-to-month,Fiber optic,4,1,0
317,58,Female,21,35.62,748.02,One year,Fiber optic,1,1,0
318,31,Female,19,88.54,1682.26,Month-to-month,DSL,3,3,0
319,19,Female,53,78.32,4150.96,One year,Fiber optic,0,0,0
320,47,Male,54,108.29,5847.66,One year,DSL,3,0,0
321,52,Male,36,109.74,3950.64,One year,No,2,0,1
322,72,Female,48,86.93,4172.64,Two year,DSL,3,1,0
323,49,Female,14,34.73,486.22,Two year,Fiber optic,2,1,0
324,47,Female,59,102.66,6056.94,Month-to-month,Fiber optic,2,2,0
325,73,Male,21,68.45,1437.45,Month-to-month,Fiber optic,1,1,1
326,52,Female,59,68.78,4058.02,Month-to-month,Fiber optic,2,1,0
327,65,Female,39,86.42,3370.38,Month-to-month,DSL,0,3,1
328,30,Female,62,75.96,4709.52,One year,Fiber optic,0,1,0
329,76,Male,61,110.33,6730.13,Two year,No,4,3,1
330,73,Female,52,47.86,2488.72,Month-to-month,DSL,4,0,1
331,52,Female,2,109.4,218.8,Month-to-month,Fiber optic,3,0,1
332,37,Male,21,95.17,1998.57,One year,Fiber optic,0,1,0
333,18,Male,16,49.39,790.24,Month-to-month,No,5,2,0
334,34,Female,12,96.94,1163.28,Month-to-month,No,1,0,1
335,57,Male,14,111.06,1554.84,One year,Fiber optic,0,0,0
336,69,Male,53,119.64,6340.92,One year,Fiber optic,1,1,0
337,25,Female,26,37.35,971.1,Month-to-month,No,2,1,0
338,38,Female,22,112.74,2480.28,Month-to-month,DSL,2,0,1
339,41,Male,20,116.15,2323.0,One year,No,2,0,0
340,72,Male,67,55.04,3687.68,Two year,DSL,3,1,0
341,63,Female,55,64.28,3535.4,Month-to-month,DSL,3,1,1
342,33,Female,30,35.05,1051.5,Two year,Fiber optic,1,1,0
343,57,Female,66,49.43,3262.38,Month-to-month,No,3,2,0
344,21,Male,47,89.11,4188.17,Month-to-month,DSL,1,1,1
345,79,Male,37,88.22,3264.14,Two year,DSL,3,0,1
346,61,Male,67,78.14,5235.38,Month-to-month,No,3,1,1
347,22,Female,52,66.4,3452.8,Month-to-month,No,1,2,0
348,45,Female,38,37.25,1415.5,One year,DSL,5,0,1
349,69,Male,0,65.79,0.0,Month-to-month,Fiber optic,2,2,1
350,25,Female,46,25.18,1158.28,One year,DSL,4,0,0
351,78,Male,12,65.91,790.92,Month-to-month,No,0,2,1
352,22,Female,19,44.98,854.62,One year,Fiber optic,3,0,0
353,60,Male,34,27.68,941.12,Month-to-month,Fiber optic,4,0,1
354,49,Female,12,73.17,878.04,One year,DSL,1,1,0
355,21,Male,27,71.83,1939.41,One year,DSL,2,0,0
356,24,Female,56,48.57,2719.92,Month-to-month,DSL,0,1,0
357,79,Male,22,103.29,2272.38,One year,No,3,2,0
358,37,Female,62,47.2,2926.4,Month-to-month,No,3,3,0
359,28,Male,2,119.76,239.52,Month-to-month,Fiber optic,1,0,1
360,78,Male,68,50.72,3448.96,One year,Fiber optic,1,1,0
361,74,Female,57,54.05,3080.85,Two year,DSL,1,0,0
362,38,Male,44,50.46,2220.24,Month-to-month,DSL,1,1,0
363,68,Female,58,78.33,4543.14,Month-to-month,Fiber optic,1,1,0
364,19,Female,58,73.54,4265.32,One year,Fiber optic,0,1,1
365,30,Female,42,100.56,4223.52,Month-to-month,DSL,2,1,0
366,47,Male,15,53.2,798.0,One year,No,4,0,0
367,54,Male,54,35.39,1911.06,Month-to-month,DSL,2,0,1
368,62,Male,33,39.34,1298.22,One year,DSL,3,1,0
369,74,Female,8,74.56,596.48,Month-to-month,DSL,2,0,0
370,30,Female,8,35.62,284.96,Two year,No,4,1,0
371,19,Female,59,86.54,5105.86,One year,Fiber optic,0,1,1
372,38,Female,70,21.62,1513.4,Two year,DSL,3,1,0
373,61,Male,25,48.78,1219.5,Month-to-month,No,0,0,0
374,71,Female,48,88.25,4236.0,One year,Fiber optic,2,1,0
375,58,Female,41,45.11,1849.51,One year,DSL,0,1,0
376,49,Female,65,61.14,3974.1,Month-to-month,DSL,5,1,0
377,74,Female,65,25.04,1627.6,Two year,Fiber optic,2,0,0
378,31,Female,57,60.66,3457.62,Month-to-month,Fiber optic,2,3,0
379,20,Male,15,41.79,626.85,One year,Fiber optic,1,1,0
380,31,Male,70,32.63,2284.1,Two year,No,2,2,0
381,60,Male,30,52.27,1568.1,One year,DSL,0,4,0
382,48,Female,65,80.71,5246.15,Month-to-month,DSL,0,0,1
383,28,Male,53,64.41,3413.73,One year,No,4,1,0
384,46,Female,50,56.47,2823.5,One year,Fiber optic,0,1,0
385,68,Female,18,93.02,1674.36,One year,DSL,0,0,0
386,70,Male,42,39.62,1664.04,Month-to-month,No,0,1,0
387,37,Female,38,117.55,4466.9,Month-to-month,DSL,0,0,0
388,51,Male,18,88.93,1600.74,Month-to-month,DSL,5,1,1
389,43,Female,11,55.86,614.46,Two year,DSL,1,2,0
390,28,Female,48,87.61,4205.28,Month-to-month,Fiber optic,3,0,0
391,46,Male,35,36.61,1281.35,Month-to-month,Fiber optic,0,0,0
392,62,Male,50,20.02,1001.0,One year,Fiber optic,2,1,0
393,66,Male,9,46.25,416.25,One year,DSL,2,1,0
394,71,Female,3,75.24,225.72,One year,No,3,0,0
395,31,Male,17,37.21,632.57,Two year,Fiber optic,3,0,0
396,58,Female,29,28.02,812.58,Month-to-month,Fiber optic,4,2,0
397,25,Female,18,71.63,1289.34,One year,No,4,1,0
398,50,Male,61,55.15,3364.15,One year,DSL,0,0,0
399,35,Female,37,41.63,1540.31,Month-to-month,DSL,4,2,0
400,74,Male,54,44.74,2415.96,Two year,DSL,1,1,0
401,22,Male,68,96.37,6553.16,One year,DSL,1,1,1
402,45,Male,34,25.12,854.08,Month-to-month,Fiber optic,3,1,1
403,40,Female,66,107.8,7114.8,One year,No,0,0,1
404,58,Female,23,72.49,1667.27,Month-to-month,DSL,2,5,1
405,23,Male,68,114.9,7813.2,Month-to-month,Fiber optic,1,0,0
406,68,Female,26,96.6,2511.6,Month-to-month,Fiber optic,1,1,0
407,23,Female,23,51.54,1185.42,Month-to-month,DSL,0,0,0
408,19,Female,44,67.51,2970.44,Two year,DSL,1,2,0
409,71,Male,43,68.99,2966.57,One year,Fiber optic,1,0,0
410,45,Female,59,77.84,4592.56,Two year,No,1,1,0
